period,hcr_type,strategy,change_par,change_type,direction,B_cons,Binit,chng_time2,discount_rate,error_rho,error_cv,error_rep,metric,value,par_A,per_change
pre,slope,GCA,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Bmn,334.7415968582522,1000,-75
pre,slope,GCA,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Bcv,0.4953618569296534,1000,-75
pre,slope,GCA,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hcm,2011.7883430193826,1000,-75
pre,slope,GCA,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hcv,0.5349651879383386,1000,-75
pre,slope,GCA,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hrmn,0.11633911765239315,1000,-75
pre,slope,GCA,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Rcm,1694.9643641490777,1000,-75
pre,slope,GCA,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Rcv,0.6520112979321513,1000,-75
pre,slope,GCA,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,N_neg,0,1000,-75
pre,slope,GCA,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_true,0.8775510204081632,1000,-75
pre,slope,GCA,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_fixed,0.8979591836734694,1000,-75
pre,slope,GCA,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_true,0.5714285714285714,1000,-75
pre,slope,GCA,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_fixed,0.8163265306122449,1000,-75
pre,slope,GCA,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_0.2BMSY_true,0,1000,-75
pre,slope,GCA,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_0.2BMSY_fixed,0,1000,-75
pre,slope,GCA,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_UMSY_true,0.5510204081632653,1000,-75
pre,slope,GCA,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_UMSY_fixed,0.5510204081632653,1000,-75
pre,slope,SQ,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Bmn,393.22550670343395,1000,-75
pre,slope,SQ,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Bcv,0.3222939852145881,1000,-75
pre,slope,SQ,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hcm,1860.022688369248,1000,-75
pre,slope,SQ,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hcv,0.6034875284373791,1000,-75
pre,slope,SQ,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hrmn,0.08715129210577094,1000,-75
pre,slope,SQ,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Rcm,1579.515969236544,1000,-75
pre,slope,SQ,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Rcv,0.7188939483725615,1000,-75
pre,slope,SQ,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,N_neg,0,1000,-75
pre,slope,SQ,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_true,0.4489795918367347,1000,-75
pre,slope,SQ,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_fixed,0.8979591836734694,1000,-75
pre,slope,SQ,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_true,0,1000,-75
pre,slope,SQ,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_fixed,0.8163265306122449,1000,-75
pre,slope,SQ,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_0.2BMSY_true,0,1000,-75
pre,slope,SQ,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_0.2BMSY_fixed,0,1000,-75
pre,slope,SQ,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_UMSY_true,0.7959183673469388,1000,-75
pre,slope,SQ,K,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_UMSY_fixed,0.7959183673469388,1000,-75
pre,slope,GCA,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Bmn,224.89935314816506,250,300
pre,slope,GCA,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Bcv,0.22539233795206598,250,300
pre,slope,GCA,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Hcm,922.876517493939,250,300
pre,slope,GCA,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Hcv,0.1854954390777672,250,300
pre,slope,GCA,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Hrmn,0.08835161040444771,250,300
pre,slope,GCA,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Rcm,724.283071520319,250,300
pre,slope,GCA,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Rcv,0.23100935008114384,250,300
pre,slope,GCA,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,N_neg,0,250,300
pre,slope,GCA,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_Bcons_true,0.9591836734693877,250,300
pre,slope,GCA,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_Bcons_fixed,0.04081632653061224,250,300
pre,slope,GCA,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_BMSY_true,0.8571428571428571,250,300
pre,slope,GCA,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_BMSY_fixed,0,250,300
pre,slope,GCA,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_0.2BMSY_true,0,250,300
pre,slope,GCA,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_0.2BMSY_fixed,0,250,300
pre,slope,GCA,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_UMSY_true,0.8367346938775511,250,300
pre,slope,GCA,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_UMSY_fixed,0.8367346938775511,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Bmn,147.01005014866067,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Bcv,0.16074402667368137,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Hcm,888.9114589695627,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Hcv,0.18806099777920962,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Hrmn,0.12258567368285467,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Rcm,710.2073235562654,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,Rcv,0.2845426839004823,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,N_neg,0,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_Bcons_true,0.9591836734693877,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_Bcons_fixed,0.5714285714285714,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_BMSY_true,0.8571428571428571,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_BMSY_fixed,0.22448979591836735,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_0.2BMSY_true,0,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_0.2BMSY_fixed,0,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_UMSY_true,0.20408163265306123,250,300
pre,slope,SQ,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_UMSY_fixed,0.20408163265306123,250,300
