hcr_type,strategy,change_par,change_type,direction,B_cons,Binit,chng_time2,error_rho,error_cv,error_rep,time,Biomass,Harvest,Harvest_rate,B_cons_true,B_cons_fixed,growth,BMSY_true,BMSY_fixed,UMSY_true,UMSY_fixed,BMSY_for,UMSY_for,par_A,par_B
slope,GCA,K,step,decrease,0.5,500,50,NA,NA,NA,1,500,62.5,0.125,250,250,62.5,500,500,0.125,0.125,500,0.125,1000,250
slope,GCA,K,step,decrease,0.5,500,50,NA,NA,NA,2,500,62.5,0.125,250,250,62.5,500,500,0.125,0.125,492.3469387755102,0.125,1000,250
slope,GCA,K,step,decrease,0.5,500,50,NA,NA,NA,3,500,62.5,0.125,250,250,62.5,500,500,0.125,0.125,484.6938775510204,0.125,1000,250
slope,GCA,K,step,decrease,0.5,500,50,NA,NA,NA,4,500,62.5,0.125,250,250,62.5,500,500,0.125,0.125,477.0408163265306,0.125,1000,250
slope,GCA,K,step,decrease,0.5,500,50,NA,NA,NA,5,500,62.5,0.125,250,250,62.5,500,500,0.125,0.125,469.38775510204084,0.125,1000,250
slope,GCA,K,step,decrease,0.5,500,50,NA,NA,NA,6,500,62.5,0.125,250,250,62.5,500,500,0.125,0.125,461.734693877551,0.125,1000,250
slope,GCA,K,step,decrease,0.5,500,50,NA,NA,NA,7,500,62.5,0.125,250,250,62.5,500,500,0.125,0.125,454.0816326530612,0.125,1000,250
slope,GCA,K,step,decrease,0.5,500,50,NA,NA,NA,8,500,62.5,0.125,250,250,62.5,500,500,0.125,0.125,446.42857142857144,0.125,1000,250
slope,GCA,K,step,decrease,0.5,500,50,NA,NA,NA,9,500,62.5,0.125,250,250,62.5,500,500,0.125,0.125,438.7755102040816,0.125,1000,250
slope,GCA,K,step,decrease,0.5,500,50,NA,NA,NA,10,500,62.5,0.125,250,250,62.5,500,500,0.125,0.125,431.1224489795918,0.125,1000,250
slope,GCA,K,step,decrease,0.5,500,50,NA,NA,NA,11,500,62.5,0.125,250,250,62.5,500,500,0.125,0.125,423.46938775510205,0.125,1000,250
slope,GCA,K,step,decrease,0.5,500,50,NA,NA,NA,12,500,62.5,0.125,250,250,62.5,500,500,0.125,0.125,415.81632653061223,0.125,1000,250
