period,hcr_type,strategy,change_par,change_type,direction,B_cons,Binit,chng_time2,discount_rate,error_rho,error_cv,error_rep,metric,value
tot,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Bmn,324.97366408966417
tot,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Bcv,0.5576503613208582
tot,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hcm,4109.032358040119
tot,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hcv,0.5503812251079075
tot,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hrmn,0.125
tot,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Rcm,2935.08559432316
tot,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Rcv,0.7100153037980955
tot,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,N_neg,0
tot,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_Bcons_true,0.9
tot,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_Bcons_fixed,1
tot,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_BMSY_true,0
tot,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_BMSY_fixed,0.49
tot,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_0.2BMSY_true,0
tot,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
tot,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_UMSY_true,0
tot,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_UMSY_fixed,0
pre,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Bmn,500
pre,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Bcv,0
pre,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hcm,3062.5
pre,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hcv,0
pre,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hrmn,0.125
pre,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Rcm,2408.9997868406726
pre,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Rcv,0.1426016372520952
pre,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,N_neg,0
pre,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_Bcons_true,1
pre,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_Bcons_fixed,1
pre,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_BMSY_true,0
pre,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_BMSY_fixed,0
pre,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_0.2BMSY_true,0
pre,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
pre,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_UMSY_true,0
pre,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_UMSY_fixed,0
post,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Bmn,156.81110605816502
post,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Bcv,0.5005115795056454
post,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hcm,1046.532358040119
post,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hcv,0.559639430494846
post,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hrmn,0.125
post,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Rcm,526.0858074824874
post,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Rcv,0.7410085714968037
post,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,N_neg,0
post,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_Bcons_true,0.803921568627451
post,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_Bcons_fixed,1
post,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_BMSY_true,0
post,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_BMSY_fixed,0.9607843137254902
post,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_0.2BMSY_true,0
post,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
post,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_UMSY_true,0
post,slope,GCA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_UMSY_fixed,0
tot,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Bmn,324.97366408966417
tot,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Bcv,0.5576503613208582
tot,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hcm,4109.032358040119
tot,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hcv,0.5503812251079075
tot,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hrmn,0.125
tot,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Rcm,2935.08559432316
tot,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Rcv,0.7100153037980955
tot,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,N_neg,0
tot,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_Bcons_true,0.9
tot,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_Bcons_fixed,1
tot,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_BMSY_true,0
tot,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_BMSY_fixed,0.49
tot,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_0.2BMSY_true,0
tot,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
tot,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_UMSY_true,0
tot,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_UMSY_fixed,0
pre,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Bmn,500
pre,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Bcv,0
pre,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hcm,3062.5
pre,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hcv,0
pre,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Hrmn,0.125
pre,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Rcm,2408.9997868406726
pre,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,Rcv,0.1426016372520952
pre,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,N_neg,0
pre,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_Bcons_true,1
pre,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_Bcons_fixed,1
pre,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_BMSY_true,0
pre,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_BMSY_fixed,0
pre,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_0.2BMSY_true,0
pre,slope,ACA,K,step,decrease,1.2,500,50,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
