period,hcr_type,strategy,change_par,change_type,direction,B_cons,Binit,chng_time2,discount_rate,error_rho,error_cv,error_rep,metric,value
tot,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Bmn,473.23640665562647
tot,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Bcv,0.18345511574816506
tot,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hcm,5958.787869512993
tot,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hcv,0.16910859334933567
tot,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hrmn,0.125
tot,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Rcm,3820.4572897145345
tot,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Rcv,0.34849954804679173
tot,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,N_neg,0
tot,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_Bcons_true,0.9
tot,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_Bcons_fixed,1
tot,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_BMSY_true,0
tot,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_BMSY_fixed,0.09
tot,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_0.2BMSY_true,0
tot,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
tot,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_UMSY_true,0
tot,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_UMSY_fixed,0
pre,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Bmn,500
pre,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Bcv,0
pre,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hcm,5562.5
pre,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hcv,0
pre,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Hrmn,0.125
pre,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Rcm,3665.0152325330705
pre,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Rcv,0.2566796195600987
pre,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,N_neg,0
pre,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_Bcons_true,1
pre,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_Bcons_fixed,1
pre,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_BMSY_true,0
pre,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_BMSY_fixed,0
pre,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_0.2BMSY_true,0
pre,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
pre,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_UMSY_true,0
pre,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,propl_UMSY_fixed,0
post,slope,GCA,K,step,decrease,1.2,500,90,0.01,NA,NA,NA,Bmn,256.6946059602407
